feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
const,-1.8941776002102155,0.1771241714821022,-10.694066113961275,1.0850719717519192e-26,-2.2413345971066323,-1.5470206033137988,0.1504420076607388,0.1063165199344211,0.2128812877147815,922,2018,0.6316565263441072
mean_score,4.406880872770882,0.3188512412135966,13.821118763714448,1.9009234250690824e-43,3.78194392356634,5.031817821975425,82.01325436263629,43.90129961223732,153.2112705218317,922,2018,0.6316565263441072
score_std,0.1361798258016304,0.111037326469499,1.2264328593955998,0.2200358268702001,-0.0814493350182037,0.3538089866214646,1.1458879352850415,0.9217794106078894,1.424483065168366,922,2018,0.6316565263441072
mean_confidence,-0.0997886587694056,0.1254876253518256,-0.7952071647672934,0.4264930047430048,-0.3457398849644393,0.1461625674256281,0.9050286676981328,0.7076965456794083,1.1573843257481504,922,2018,0.6316565263441072
num_reviews,-0.0993690801160918,0.1097284158428785,-0.9055911301807148,0.3651523052724295,-0.3144328232487681,0.1156946630165843,0.9054084780823286,0.7302029109567424,1.1226530323047723,922,2018,0.6316565263441072
mean_sentiment,0.0078184784887938,0.1360378712845473,0.0574728082332318,0.9541685661816488,-0.2588108497624146,0.2744478067400023,1.007849122603122,0.7719690273598263,1.315803896181993,922,2018,0.6316565263441072
mean_politeness,0.1088203072982883,0.1405363978456913,0.7743211649538135,0.4387408905751211,-0.1666259709962591,0.3842665855928358,1.1149619818087884,0.8465161737328508,1.4685368802785563,922,2018,0.6316565263441072
mean_toxicity,0.2005284095724547,0.1380774471566296,1.4522893760121676,0.1464211602603201,-0.0700984139317719,0.4711552330766813,1.222048329617452,0.9323020638792812,1.6018436274900032,922,2018,0.6316565263441072
mean_constructiveness,0.1875513959344376,0.1431156809463182,1.3104880939272263,0.1900307693609697,-0.0929501843432713,0.4680529762121467,1.206292246344978,0.9112388931293922,1.5968819972057415,922,2018,0.6316565263441072
const,-1.517917241792406,0.1556164732669505,-9.754219523973608,1.7695654406348744e-22,-1.8229199247967691,-1.2129145587880428,0.2191678856325208,0.1615533379668299,0.2973294312401776,1000,2019,0.647166901770702
mean_score,4.411039247471594,0.3039734798386511,14.511263449077765,1.0280930471829024e-47,3.815262174732526,5.006816320210662,82.35500627849466,45.38865458155021,149.4282463681533,1000,2019,0.647166901770702
