forum,year,accept,decision_raw,decision_parse_success,title,abstract,keywords_raw,keyword_document,keyword_count,title_length,abstract_length,topic_cluster,link,num_reviews,mean_score,score_std,rating_parse_success_share,confidence_mean,confidence_parse_success_share,mean_sentiment,mean_politeness,mean_toxicity,mean_constructiveness,review_length_mean,confidence_missing,confidence_mean_imputed,mean_score_percentile,year_topic_cluster,parse_status,mean_sentiment_z,within_year_sentiment_median,high_sentiment,borderline_window,sentiment_rank,propensity_score,propensity_logit
B12Js_yRb,2018,1,Accept (Poster),1,Learning to Count Objects in Natural Images for Visual Question Answering,"Visual Question Answering (VQA) models have struggled with counting objects in natural images so far. We identify a fundamental problem due to soft attention in these models as a cause. To circumvent this problem, we propose a neural network component that allows robust counting from object proposals. Experiments on a toy task show the effectiveness of this component and we obtain state-of-the-art accuracy on the number category of the VQA v2 dataset without negatively affecting other categories, even outperforming ensemble models with our single model. On a difficult balanced pair metric, the component gives a substantial improvement in counting over a strong baseline by 6.6%.","['visual question answering', 'vqa', 'counting']",visual question answering ; vqa ; counting,3,11,107,4,https://openreview.net/forum?id=B12Js_yRb,3,5.333333333333333,1.1547005383792517,1.0,3.333333333333333,1.0,0.9490666666666666,1.1839460755869424,0.0,1.0462333991745758,355.0,0,3.333333333333333,0.4642082429501085,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,0.7654309853447667,0.5288750031382565,1,35-65,0.7555555555555555,0.4523157722412117,-0.19131834707787979
B14uJzW0b,2018,0,Invite to Workshop Track,1,No Spurious Local Minima in a Two Hidden Unit ReLU Network,"Deep learning models can be efficiently optimized via stochastic gradient descent, but there is little theoretical evidence to support this. A key question in optimization is to understand when the optimization landscape of a neural network is amenable to gradient-based optimization. We focus on a simple neural network two-layer ReLU network with two hidden units, and show that all local minimizers are global. This combined with recent work of Lee et al. (2017); Lee et al. (2016) show that gradient descent converges to the global minimizer.","['Non-convex optimization', 'Deep Learning']",non convex optimization ; deep learning,2,11,86,7,https://openreview.net/forum?id=B14uJzW0b,3,5.333333333333333,1.1547005383792517,1.0,3.0,1.0,0.4437333333333333,1.1196331596832223,0.0,1.1162457345185757,314.3333333333333,0,3.0,0.4642082429501085,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,-0.5610675129909827,0.5288750031382565,0,35-65,0.2814814814814815,0.47990314828168545,-0.08043073840734505
B16yEqkCZ,2018,0,Reject,1,Avoiding Catastrophic States with Intrinsic Fear,"Many practical reinforcement learning problems contain catastrophic states that the optimal policy visits infrequently or never. Even on toy problems, deep reinforcement learners periodically revisit these states, once they are forgotten under a new policy. In this paper, we introduce intrinsic fear, a learned reward shaping that accelerates deep reinforcement learning and guards oscillating policies against periodic catastrophes. Our approach incorporates a second model trained via supervised learning to predict the probability of imminent catastrophe. This score acts as a penalty on the Q-learning objective. Our theoretical analysis demonstrates that the perturbed objective yields the same average return under strong assumptions and an $\\epsilon$-close average return under weaker assumptions. Our analysis also shows robustness to classification errors. Equipped with intrinsic fear, our DQNs solve the toy environments and improve on the Atari games Seaquest, Asteroids, and Freeway.","['reinforcement learning', 'safe exploration', 'dqn']",reinforcement learning ; safe exploration ; dqn,3,6,139,1,https://openreview.net/forum?id=B16yEqkCZ,3,5.666666666666667,1.1547005383792517,1.0,4.0,1.0,-0.3218666666666667,0.3989618094178717,0.0,0.9054505005561736,390.3333333333333,0,4.0,0.5667028199566161,2018_1,decision=1;rating_share=1.0;confidence_share=1.0,-2.570765237910211,0.5288750031382565,0,35-65,0.025925925925925925,0.7251250756880582,0.9700279846451243
B1CNpYg0-,2018,0,Reject,1,Learning to Compute Word Embeddings On the Fly,"Words in natural language follow a Zipfian distribution whereby some words are frequent but most are rare. Learning representations for words in the ``long tail'' of this distribution requires enormous amounts of data. Representations of rare words trained directly on end tasks are usually poor, requiring us to pre-train embeddings on external data, or treat all rare words as out-of-vocabulary words with a unique representation. We provide a method for predicting embeddings of rare words on the fly from small amounts of auxiliary data with a network trained end-to-end for the downstream task. We show that this improves results against baselines where embeddings are trained on the end task for reading comprehension, recognizing textual entailment and language modeling.","['NLU', 'word embeddings', 'representation learning']",nlu ; word embeddings ; representation learning,3,8,123,11,https://openreview.net/forum?id=B1CNpYg0-,3,5.666666666666667,1.1547005383792517,1.0,3.6666666666666665,1.0,0.9599,0.3436033854114969,0.0,1.1972251109288807,387.6666666666667,0,3.6666666666666665,0.5667028199566161,2018_11,decision=1;rating_share=1.0;confidence_share=1.0,0.7938684531520965,0.5288750031382565,1,35-65,0.8074074074074075,0.6136085645005818,0.462506270510536
B1D6ty-A-,2018,0,Reject,1,Training Autoencoders by Alternating Minimization,"We present DANTE, a novel method for training neural networks, in particular autoencoders, using the alternating minimization principle. DANTE provides a distinct perspective in lieu of traditional gradient-based backpropagation techniques commonly used to train deep networks. It utilizes an adaptation of quasi-convex optimization techniques to cast autoencoder training as a bi-quasi-convex optimization problem. We show that for autoencoder configurations with both differentiable (e.g. sigmoid) and non-differentiable (e.g. ReLU) activation functions, we can perform the alternations very effectively. DANTE effortlessly extends to networks with multiple hidden layers and varying network configurations. In experiments on standard datasets, autoencoders trained using the proposed method were found to be very promising when compared to those trained using traditional backpropagation techniques, both in terms of training speed, as well as feature extraction and reconstruction performance.","['Deep Learning', 'Autoencoders', 'Alternating Optimization']",deep learning ; autoencoders ; alternating optimization,3,5,137,7,https://openreview.net/forum?id=B1D6ty-A-,3,5.666666666666667,1.5275252316519463,1.0,4.333333333333333,1.0,0.9896,0.9912983859233416,0.0,0.8109022600254355,380.3333333333333,0,4.333333333333333,0.5667028199566161,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,0.871830864894653,0.5288750031382565,1,35-65,0.9740740740740741,0.6297741403450466,0.5312479968170037
B1NGT8xCZ,2018,0,Reject,1,Principled Hybrids of Generative and Discriminative Domain Adaptation,"We propose a probabilistic framework for domain adaptation that blends both generative and discriminative modeling in a principled way. Under this framework, generative and discriminative models correspond to specific choices of the prior over parameters. This provides us a very general way to interpolate between generative and discriminative extremes through different choices of priors. By maximizing both the marginal and the conditional log-likelihoods, models derived from this framework can use both labeled instances from the source domain as well as unlabeled instances from \\emph{both} source and target domains. Under this framework, we show that the popular reconstruction loss of autoencoder corresponds to an upper bound of the negative marginal log-likelihoods of unlabeled instances, where marginal distributions are given by proper kernel density estimations. This provides a way to interpret the empirical success of autoencoders in domain adaptation and semi-supervised learning. We instantiate our framework using neural networks, and build a concrete model, \\emph{DAuto}. Empirically, we demonstrate the effectiveness of DAuto on text, image and speech datasets, showing that it outperforms related competitors when domain adaptation is possible.","['domain adaptation', 'neural networks', 'generative models', 'discriminative models']",domain adaptation ; neural networks ; generative models ; discriminative models,4,8,182,5,https://openreview.net/forum?id=B1NGT8xCZ,3,5.333333333333333,0.5773502691896257,1.0,3.6666666666666665,1.0,0.1571,0.4582052408139365,0.0,1.2209461307082308,213.3333333333333,0,3.6666666666666665,0.4642082429501085,2018_5,decision=1;rating_share=1.0;confidence_share=1.0,-1.3134791612224541,0.5288750031382565,0,35-65,0.10740740740740741,0.2355818622677627,-1.1770564766159937
B1QgVti6Z,2018,1,Accept (Poster),1,Empirical Risk Landscape Analysis for Understanding Deep Neural Networks,"This work aims to provide comprehensive landscape analysis of empirical risk in deep neural networks (DNNs), including the convergence behavior of its gradient, its stationary points and the empirical risk itself to their corresponding population counterparts, which reveals how various network parameters determine the convergence performance. In particular, for an $l$-layer linear neural network consisting of $\\dm_i$ neurons in the $i$-th layer, we prove the gradient of its empirical risk uniformly converges to the one of its population risk, at the rate of $\\mathcal{O}(r^{2l} \\sqrt{l\\sqrt{\\max_i \\dm_i} s\\log(d/l)/n})$. Here $d$ is the total weight dimension, $s$ is the number of nonzero entries of all the weights and the magnitude of weights per layer is upper bounded by $r$. Moreover, we prove the one-to-one correspondence of the non-degenerate stationary points between the empirical and population risks and provide convergence guarantee for each pair. We also establish the uniform convergence of the empirical risk to its population counterpart and further derive the stability and generalization bounds for the empirical risk. In addition, we analyze these properties for deep \\emph{nonlinear} neural networks with sigmoid activation functions. We prove similar results for convergence behavior of their empirical risk gradients, non-degenerate stationary points as well as the empirical risk itself. To our best knowledge, this work is the first one theoretically characterizing the uniform convergence of the gradient and stationary points of the empirical risk of DNN models, which benefits the theoretical understanding on how the neural network depth $l$, the layer width $\\dm_i$, the network size $d$, the sparsity in weight and the parameter magnitude $r$ determine the neural network landscape.","['Deep Learning Analysis', 'Deep Learning Theory', 'Empirical Risk', 'Landscape Analysis', 'Nonconvex Optimization']",deep learning analysis ; deep learning theory ; empirical risk ; landscape analysis ; nonconvex optimization,5,9,287,7,https://openreview.net/forum?id=B1QgVti6Z,3,5.666666666666667,2.309401076758503,1.0,3.0,1.0,0.1143,0.0754147812971342,0.0,1.7641534317499687,248.66666666666663,0,3.0,0.5667028199566161,2018_7,decision=1;rating_share=1.0;confidence_share=1.0,-1.4258290340366433,0.5288750031382565,0,35-65,0.1,0.295498909497902,-0.868824732769918
B1Z3W-b0W,2018,0,Invite to Workshop Track,1,Learning to Infer,"Inference models, which replace an optimization-based inference procedure with a learned model, have been fundamental in advancing Bayesian deep learning, the most notable example being variational auto-encoders (VAEs). In this paper, we propose iterative inference models, which learn how to optimize a variational lower bound through repeatedly encoding gradients. Our approach generalizes VAEs under certain conditions, and by viewing VAEs in the context of iterative inference, we provide further insight into several recent empirical findings. We demonstrate the inference optimization capabilities of iterative inference models, explore unique aspects of these models, and show that they outperform standard inference models on typical benchmark data sets.","['Bayesian Deep Learning', 'Amortized Inference', 'Variational Auto-Encoders', 'Learning to Learn']",bayesian deep learning ; amortized inference ; variational auto encoders ; learning to learn,4,3,106,6,https://openreview.net/forum?id=B1Z3W-b0W,3,5.333333333333333,0.5773502691896257,1.0,4.333333333333333,1.0,0.9556,0.2687113492740091,0.0,1.5750664194824466,477.3333333333333,0,4.333333333333333,0.4642082429501085,2018_6,decision=1;rating_share=1.0;confidence_share=1.0,0.7825809659301104,0.5288750031382565,1,35-65,0.7777777777777778,0.5542659435187136,0.21792212576180187
B1kIr-WRb,2018,0,Reject,1,LEARNING SEMANTIC WORD RESPRESENTATIONS VIA TENSOR FACTORIZATION,"Many state-of-the-art word embedding techniques involve factorization of a cooccurrence based matrix. We aim to extend this approach by studying word embedding techniques that involve factorization of co-occurrence based tensors (N- way arrays). We present two new word embedding techniques based on tensor factorization and show that they outperform common methods on several semantic NLP tasks when given the same data. To train one of the embeddings, we present a new joint tensor factorization problem and an approach for solving it. Furthermore, we modify the performance metrics for the Outlier Detection Camacho- Collados & Navigli (2016) task to measure the quality of higher-order relationships that a word embedding captures. Our tensor-based methods significantly outperform existing methods at this task when using our new metric. Finally, we demonstrate that vectors in our embeddings can be composed multiplicatively to create different vector representations for each meaning of a polysemous word. We show that this property stems from the higher order information that the vectors contain, and thus is unique to our tensor based embeddings.","['Word Embeddings', 'Tensor Factorization', 'Natural Language Processing']",word embeddings ; tensor factorization ; natural language processing,3,7,176,10,https://openreview.net/forum?id=B1kIr-WRb,3,5.0,0.0,1.0,4.333333333333333,1.0,0.9829333333333332,0.6699414715719062,0.0,1.002299331103679,590.6666666666666,0,4.333333333333333,0.36388286334056397,2018_10,decision=1;rating_share=1.0;confidence_share=1.0,0.8543308847055266,0.5288750031382565,1,35-65,0.9481481481481482,0.8558553862178667,1.7812843625174535
B1mAkPxCZ,2018,0,Reject,1,VOCABULARY-INFORMED VISUAL FEATURE AUGMENTATION FOR ONE-SHOT LEARNING,"A natural solution for one-shot learning is to augment training data to handle the data deficiency problem. However, directly augmenting in the image domain may not necessarily generate training data that sufficiently explore the intra-class space for one-shot classification. Inspired by the recent vocabulary-informed learning, we propose to generate synthetic training data with the guide of the semantic word space. Essentially, we train an auto-encoder as a bridge to enable the transformation between the image feature space and the semantic space. Besides directly augmenting image features, we transform the image features to semantic space using the encoder and perform the data augmentation. The decoder then synthesizes the image features for the augmented instances from the semantic space. Experiments on three datasets show that our data augmentation method effectively improves the performance of one-shot classification. An extensive study shows that data augmented from semantic space are complementary with those from the image space, and thus boost the classification accuracy dramatically. Source code and dataset will be available.","['vocabulary-informed learning', 'data augmentation']",vocabulary informed learning ; data augmentation,2,9,172,4,https://openreview.net/forum?id=B1mAkPxCZ,3,5.0,1.0,1.0,3.6666666666666665,1.0,0.3058333333333333,0.3880705649368179,0.0,0.7511787711822793,532.3333333333334,0,3.6666666666666665,0.36388286334056397,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,-0.9230546032030537,0.5288750031382565,0,35-65,0.16296296296296298,0.6277431256287294,0.5225469086916733
