forum_treated,forum_control,year_treated,year_control,accept_treated,accept_control,decision_raw_treated,decision_raw_control,decision_parse_success_treated,decision_parse_success_control,title_treated,title_control,abstract_treated,abstract_control,keywords_raw_treated,keywords_raw_control,keyword_document_treated,keyword_document_control,keyword_count_treated,keyword_count_control,title_length_treated,title_length_control,abstract_length_treated,abstract_length_control,topic_cluster_treated,topic_cluster_control,link_treated,link_control,num_reviews_treated,num_reviews_control,mean_score_treated,mean_score_control,score_std_treated,score_std_control,rating_parse_success_share_treated,rating_parse_success_share_control,confidence_mean_treated,confidence_mean_control,confidence_parse_success_share_treated,confidence_parse_success_share_control,mean_sentiment_treated,mean_sentiment_control,mean_politeness_treated,mean_politeness_control,mean_toxicity_treated,mean_toxicity_control,mean_constructiveness_treated,mean_constructiveness_control,review_length_mean_treated,review_length_mean_control,confidence_missing_treated,confidence_missing_control,confidence_mean_imputed_treated,confidence_mean_imputed_control,mean_score_percentile_treated,mean_score_percentile_control,year_topic_cluster_treated,year_topic_cluster_control,parse_status_treated,parse_status_control,mean_sentiment_z_treated,mean_sentiment_z_control,within_year_sentiment_median_treated,within_year_sentiment_median_control,high_sentiment_treated,high_sentiment_control,borderline_window_treated,borderline_window_control,sentiment_rank_treated,sentiment_rank_control,propensity_score_treated,propensity_score_control,propensity_logit_treated,propensity_logit_control,distance,year
SJn0sLgRb,HJBhEMbRb,2018,2018,0,0,Reject,Reject,1,1,Data Augmentation by Pairing Samples for Images Classification,A Spectral Approach to Generalization and Optimization in Neural Networks,"Data augmentation is a widely used technique in many machine learning tasks, such as image classification, to virtually enlarge the training dataset size and avoid overfitting. Traditional data augmentation techniques for image classification tasks create new samples from the original training data by, for example, flipping, distorting, adding a small amount of noise to, or cropping a patch from an original image. In this paper, we introduce a simple but surprisingly effective data augmentation technique for image classification tasks. With our technique, named SamplePairing, we synthesize a new sample from one image by overlaying another image randomly chosen from the training data (i.e., taking an average of two images for each pixel). By using two images randomly selected from the training set, we can generate N^2 new samples from N training samples. This simple data augmentation technique significantly improved classification accuracy for all the tested datasets; for example, the top-1 error rate was reduced from 33.5% to 29.0% for the ILSVRC 2012 dataset with GoogLeNet and from 8.22% to 6.93% in the CIFAR-10 dataset. We also show that our SamplePairing technique largely improved accuracy when the number of samples in the training set was very small. Therefore, our technique is more valuable for tasks with a limited amount of training data, such as medical imaging tasks.","The recent success of deep neural networks stems from their ability to generalize well on real data; however, Zhang et al. have observed that neural networks can easily overfit random labels. This observation demonstrates that with the existing theory, we cannot adequately explain why gradient methods can find generalizable solutions for neural networks. In this work, we use a Fourier-based approach to study the generalization properties of gradient-based methods over 2-layer neural networks with sinusoidal activation functions. We prove that if the underlying distribution of data has nice spectral properties such as bandlimitedness, then the gradient descent method will converge to generalizable local minima. We also establish a Fourier-based generalization bound for bandlimited spaces, which generalizes to other activation functions. Our generalization bound motivates a grouped version of path norms for measuring the complexity of 2-layer neural networks with ReLU activation functions. We demonstrate numerically that regularization of this group path norm results in neural network solutions that can fit true labels without losing test accuracy while not overfitting random labels.","['Data augmentation', 'Image classification']","['Generalization', 'Neural Networks', 'Fourier Analysis']",data augmentation ; image classification,generalization ; neural networks ; fourier analysis,2,3,8,10,212,174,4,12,https://openreview.net/forum?id=SJn0sLgRb,https://openreview.net/forum?id=HJBhEMbRb,3,3,5.0,5.333333333333333,1.0,1.1547005383792517,1.0,1.0,4.333333333333333,3.333333333333333,1.0,1.0,0.9362333333333334,-0.4340666666666666,1.0944875973352743,0.2387005294201548,0.0,0.0,2.6267254262899,2.258212724542106,253.66666666666663,231.3333333333333,0,0,4.333333333333333,3.333333333333333,0.36388286334056397,0.4642082429501085,2018_4,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7317435234806995,-2.8652899044932005,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.6888888888888889,0.014814814814814815,0.27062760363773675,0.2696893762015814,-0.9914407138084188,-0.9961991174901692,0.0047584036817504005,2018
rJSr0GZR-,SJLlmG-AZ,2018,2018,0,1,Reject,Accept (Poster),1,1,Learning Priors for Adversarial Autoencoders,Understanding image motion with group representations,"Most deep latent factor models choose simple priors for simplicity, tractability or not knowing what prior to use. Recent studies show that the choice of the prior may have a profound effect on the expressiveness of the model, especially when its generative network has limited capacity. In this paper, we propose to learn a proper prior from data for adversarial autoencoders (AAEs). We introduce the notion of code generators to transform manually selected simple priors into ones that can better characterize the data distribution. Experimental results show that the proposed model can generate better image quality and learn better disentangled representations than AAEs in both supervised and unsupervised settings. Lastly, we present its ability to do cross-domain translation in a text-to-image synthesis task.","Motion is an important signal for agents in dynamic environments, but learning to represent motion from unlabeled video is a difficult and underconstrained problem. We propose a model of motion based on elementary group properties of transformations and use it to train a representation of image motion. While most methods of estimating motion are based on pixel-level constraints, we use these group properties to constrain the abstract representation of motion itself. We demonstrate that a deep neural network trained using this method captures motion in both synthetic 2D sequences and real-world sequences of vehicle motion, without requiring any labels. Networks trained to respect these constraints implicitly identify the image characteristic of motion in different sequence types. In the context of vehicle motion, this method extracts information useful for localization, tracking, and odometry. Our results demonstrate that this representation is useful for learning motion in the general setting where explicit labels are difficult to obtain.","['deep learning', 'computer vision', 'generative adversarial networks']","['vision', 'motion', 'recurrent neural networks', 'self-supervised learning', 'unsupervised learning', 'group theory']",deep learning ; computer vision ; generative adversarial networks,vision ; motion ; recurrent neural networks ; self supervised learning ; unsupervised learning ; group theory,3,6,5,6,126,156,5,12,https://openreview.net/forum?id=rJSr0GZR-,https://openreview.net/forum?id=SJLlmG-AZ,3,3,5.666666666666667,5.333333333333333,0.5773502691896258,1.5275252316519468,1.0,1.0,3.333333333333333,3.6666666666666665,1.0,1.0,0.9460666666666668,0.4035666666666667,0.721057811297222,1.1204794088511725,0.0,0.0,2.235987871346988,0.9103338553707708,222.3333333333333,219.0,0,0,3.333333333333333,3.6666666666666665,0.5667028199566161,0.4642082429501085,2018_5,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7575559942596607,-0.6665048936304666,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.7407407407407407,0.26666666666666666,0.30278226194727453,0.3025337184146337,-0.8340838154123736,-0.8352614336213809,0.0011776182090073029,2018
SkFvV0yC-,SyL9u-WA-,2018,2018,0,0,Reject,Reject,1,1,Network Iterative Learning for Dynamic Deep Neural Networks via Morphism,Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization,"In this research, we present a novel learning scheme called network iterative learning for deep neural networks. Different from traditional optimization algorithms that usually optimize directly on a static objective function, we propose in this work to optimize a dynamic objective function in an iterative fashion capable of adapting its function form when being optimized. The optimization is implemented as a series of intermediate neural net functions that is able to dynamically grow into the targeted neural net objective function. This is done via network morphism so that the network knowledge is fully preserved with each network growth. Experimental results demonstrate that the proposed network iterative learning scheme is able to significantly alleviate the degradation problem. Its effectiveness is verified on diverse benchmark datasets.","Vanishing and exploding gradients are two of the main obstacles in training deep neural networks, especially in capturing long range dependencies in recurrent neural networks (RNNs). In this paper, we present an efficient parametrization of the transition matrix of an RNN that allows us to stabilize the gradients that arise in its training. Specifically, we parameterize the transition matrix by its singular value decomposition (SVD), which allows us to explicitly track and control its singular values. We attain efficiency by using tools that are common in numerical linear algebra, namely Householder reflectors for representing the orthogonal matrices that arise in the SVD. By explicitly controlling the singular values, our proposed svdRNN method allows us to easily solve the exploding gradient problem and we observe that it empirically solves the vanishing gradient issue to a large extent. We note that the SVD parameterization can be used for any rectangular weight matrix, hence it can be easily extended to any deep neural network, such as a multi-layer perceptron. Theoretically, we demonstrate that our parameterization does not lose any expressive power, and show how it potentially makes the optimization process easier. Our extensive experimental results also demonstrate that the proposed framework converges faster, and has good generalization, especially when the depth is large.","['Network Iterative Learning', 'Morphism']","['Recurrent Neural Network', 'Vanishing Gradient', 'Exploding Gradient', 'Linear Algebra', 'Householder Reflections']",network iterative learning ; morphism,recurrent neural network ; vanishing gradient ; exploding gradient ; linear algebra ; householder reflections,2,5,10,10,124,211,9,9,https://openreview.net/forum?id=SkFvV0yC-,https://openreview.net/forum?id=SyL9u-WA-,3,3,5.666666666666667,5.666666666666667,1.1547005383792517,1.1547005383792517,1.0,1.0,3.0,3.6666666666666665,1.0,1.0,0.9639333333333332,-0.3129333333333333,1.0714918995158254,0.2364066193853428,0.0,0.0,1.2175429050208249,2.315976389409595,158.66666666666666,162.33333333333334,0,0,3.0,3.6666666666666665,0.5667028199566161,0.5667028199566161,2018_9,2018_9,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8044559411665175,-2.5473152644567816,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.8333333333333334,0.02962962962962963,0.3105175646249457,0.3040970595058631,-0.7977007538569761,-0.8278632721576379,0.030162518300661745,2018
SJCPLLpaW,HyXBcYg0b,2018,2018,0,0,Reject,Reject,1,1,Exploring the Hidden Dimension in Accelerating Convolutional Neural Networks,Residual Gated Graph ConvNets,DeePa is a deep learning framework that explores parallelism in all parallelizable dimensions to accelerate the training process of convolutional neural networks. DeePa optimizes parallelism at the granularity of each individual layer in the network. We present an elimination-based algorithm that finds an optimal parallelism configuration for every layer. Our evaluation shows that DeePa achieves up to 6.5× speedup compared to state-of-the-art deep learning frameworks and reduces data transfers by up to 23×.,"Graph-structured data such as social networks, functional brain networks, gene regulatory networks, communications networks have brought the interest in generalizing deep learning techniques to graph domains. In this paper, we are interested to design neural networks for graphs with variable length in order to solve learning problems such as vertex classification, graph classification, graph regression, and graph generative tasks. Most existing works have focused on recurrent neural networks (RNNs) to learn meaningful representations of graphs, and more recently new convolutional neural networks (ConvNets) have been introduced. In this work, we want to compare rigorously these two fundamental families of architectures to solve graph learning tasks. We review existing graph RNN and ConvNet architectures, and propose natural extension of LSTM and ConvNet to graphs with arbitrary size. Then, we design a set of analytically controlled experiments on two basic graph problems, i.e. subgraph matching and graph clustering, to test the different architectures. Numerical results show that the proposed graph ConvNets are 3-17% more accurate and 1.5-4x faster than graph RNNs. Graph ConvNets are also 36% more accurate than variational (non-learning) techniques. Finally, the most effective graph ConvNet architecture uses gated edges and residuality. Residuality plays an essential role to learn multi-layer architectures as they provide a 10% gain of performance.","['Parallelism of Convolutional Neural Networks', 'Accelerating Convolutional Neural Networks']","['graph neural networks', 'ConvNets', 'RNNs', 'pattern matching', 'semi-supervised clustering']",parallelism of convolutional neural networks ; accelerating convolutional neural networks,graph neural networks ; convnets ; rnns ; pattern matching ; semi supervised clustering,2,5,9,4,75,210,12,12,https://openreview.net/forum?id=SJCPLLpaW,https://openreview.net/forum?id=HyXBcYg0b,3,3,5.333333333333333,5.333333333333333,1.5275252316519463,2.081665999466133,1.0,1.0,4.333333333333333,3.6666666666666665,1.0,1.0,0.9729,0.1621333333333333,-0.1348784085495692,0.126995615993171,0.0,0.0,1.1378258833658543,2.2802408132481484,237.0,289.0,0,0,4.333333333333333,3.6666666666666665,0.4642082429501085,0.4642082429501085,2018_12,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8279934145208923,-1.3002666761796642,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.8962962962962963,0.1111111111111111,0.33378725247034,0.3337672328872364,-0.6911052388909801,-0.691195267148222,9.002825724191421e-05,2018
Sy-tszZRZ,r1pW0WZAW,2018,2018,0,0,Reject,Invite to Workshop Track,1,1,Bounding and Counting Linear Regions of Deep Neural Networks,Analyzing and Exploiting NARX Recurrent Neural Networks for Long-Term Dependencies,"In this paper, we study the representational power of deep neural networks (DNN) that belong to the family of piecewise-linear (PWL) functions, based on PWL activation units such as rectifier or maxout. We investigate the complexity of such networks by studying the number of linear regions of the PWL function. Typically, a PWL function from a DNN can be seen as a large family of linear functions acting on millions of such regions. We directly build upon the work of Mont´ufar et al. (2014), Mont´ufar (2017), and Raghu et al. (2017) by refining the upper and lower bounds on the number of linear regions for rectified and maxout networks. In addition to achieving tighter bounds, we also develop a novel method to perform exact numeration or counting of the number of linear regions with a mixed-integer linear formulation that maps the input space to output. We use this new capability to visualize how the number of linear regions change while training DNNs.","Recurrent neural networks (RNNs) have achieved state-of-the-art performance on many diverse tasks, from machine translation to surgical activity recognition, yet training RNNs to capture long-term dependencies remains difficult. To date, the vast majority of successful RNN architectures alleviate this problem using nearly-additive connections between states, as introduced by long short-term memory (LSTM). We take an orthogonal approach and introduce MIST RNNs, a NARX RNN architecture that allows direct connections from the very distant past. We show that MIST RNNs 1) exhibit superior vanishing-gradient properties in comparison to LSTM and previously-proposed NARX RNNs; 2) are far more efficient than previously-proposed NARX RNN architectures, requiring even fewer computations than LSTM; and 3) improve performance substantially over LSTM and Clockwork RNNs on tasks requiring very long-term dependencies.","['rectifier networks', 'maxout networks', 'piecewise linear functions', 'linear regions', 'mixed-integer programming']","['recurrent neural networks', 'long-term dependencies', 'long short-term memory', 'LSTM']",rectifier networks ; maxout networks ; piecewise linear functions ; linear regions ; mixed integer programming,recurrent neural networks ; long term dependencies ; long short term memory ; lstm,5,4,9,11,163,131,4,12,https://openreview.net/forum?id=Sy-tszZRZ,https://openreview.net/forum?id=r1pW0WZAW,3,3,5.333333333333333,5.333333333333333,1.1547005383792517,2.081665999466133,1.0,1.0,4.333333333333333,4.333333333333333,1.0,1.0,0.9821,0.1901666666666667,1.7338184350666117,0.3145405319318363,0.0,0.0,1.1093250001500934,1.2106960956065815,248.3333333333333,279.0,0,0,4.333333333333333,4.333333333333333,0.4642082429501085,0.4642082429501085,2018_4,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8521433871818861,-1.2266792594843894,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.937037037037037,0.11851851851851852,0.33434385098866976,0.3341997273944674,-0.6886032870503482,-0.6892509341162404,0.000647647065892154,2018
SJ60SbW0b,rJiaRbk0-,2018,2018,0,0,Reject,Reject,1,1,Modeling Latent Attention Within Neural Networks,Towards Binary-Valued Gates for Robust LSTM Training,"Deep neural networks are able to solve tasks across a variety of domains and modalities of data. Despite many empirical successes, we lack the ability to clearly understand and interpret the learned mechanisms that contribute to such effective behaviors and more critically, failure modes. In this work, we present a general method for visualizing an arbitrary neural network's inner mechanisms and their power and limitations. Our dataset-centric method produces visualizations of how a trained network attends to components of its inputs. The computed ""attention masks"" support improved interpretability by highlighting which input attributes are critical in determining output. We demonstrate the effectiveness of our framework on a variety of deep neural network architectures in domains from computer vision and natural language processing. The primary contribution of our approach is an interpretable visualization of attention that provides unique insights into the network's underlying decision-making process irrespective of the data modality.","Long Short-Term Memory (LSTM) is one of the most widely used recurrent structures in sequence modeling. Its goal is to use gates to control the information flow (e.g., whether to skip some information/transformation or not) in the recurrent computations, although its practical implementation based on soft gates only partially achieves this goal and is easy to overfit. In this paper, we propose a new way for LSTM training, which pushes the values of the gates towards 0 or 1. By doing so, we can (1) better control the information flow: the gates are mostly open or closed, instead of in a middle state; and (2) avoid overfitting to certain extent: the gates operate at their flat regions, which is shown to correspond to better generalization ability. However, learning towards discrete values of the gates is generally difficult. To tackle this challenge, we leverage the recently developed Gumbel-Softmax trick from the field of variational methods, and make the model trainable with standard backpropagation. Experimental results on language modeling and machine translation show that (1) the values of the gates generated by our method are more reasonable and intuitively interpretable, and (2) our proposed method generalizes better and achieves better accuracy on test sets in all tasks. Moreover, the learnt models are not sensitive to low-precision approximation and low-rank approximation of the gate parameters due to the flat loss surface.","['deep learning', 'neural network', 'attention', 'attention mechanism', 'interpretability', 'visualization']","['recurrent neural network', 'LSTM', 'long-short term memory network', 'machine translation', 'generalization']",deep learning ; neural network ; attention ; attention mechanism ; interpretability ; visualization,recurrent neural network ; lstm ; long short term memory network ; machine translation ; generalization,6,5,6,8,151,228,9,9,https://openreview.net/forum?id=SJ60SbW0b,https://openreview.net/forum?id=rJiaRbk0-,3,3,5.333333333333333,5.333333333333333,1.5275252316519463,1.1547005383792517,1.0,1.0,4.0,3.6666666666666665,1.0,1.0,0.9414333333333332,0.4707666666666666,1.090342812882661,0.7730440940773043,0.0,0.0,1.127954165671998,1.7350628051735064,172.33333333333334,218.3333333333333,0,0,4.0,3.6666666666666665,0.4642082429501085,0.4642082429501085,2018_9,2018_9,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7453935080282174,-0.4901050933240769,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.7222222222222222,0.3,0.3419934707133859,0.3402703563954705,-0.6544232088050375,-0.6620896526942366,0.007666443889199126,2018
SknC0bW0-,S1cZsf-RW,2018,2018,0,1,Reject,Accept (Poster),1,1,Continuous-fidelity Bayesian Optimization with Knowledge Gradient,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,"While Bayesian optimization (BO) has achieved great success in optimizing expensive-to-evaluate black-box functions, especially tuning hyperparameters of neural networks, methods such as random search (Li et al., 2016) and multi-fidelity BO (e.g. Klein et al. (2017)) that exploit cheap approximations, e.g. training on a smaller training data or with fewer iterations, can outperform standard BO approaches that use only full-fidelity observations. In this paper, we propose a novel Bayesian optimization algorithm, the continuous-fidelity knowledge gradient (cfKG) method, that can be used when fidelity is controlled by one or more continuous settings such as training data size and the number of training iterations. cfKG characterizes the value of the information gained by sampling a point at a given fidelity, choosing to sample at the point and fidelity with the largest value per unit cost. Furthermore, cfKG can be generalized, following Wu et al. (2017), to settings where derivatives are available in the optimization process, e.g. large-scale kernel learning, and where more than one point can be evaluated simultaneously. Numerical experiments show that cfKG outperforms state-of-art algorithms when optimizing synthetic functions, tuning convolutional neural networks (CNNs) on CIFAR-10 and SVHN, and in large-scale kernel learning.","To train an inference network jointly with a deep generative topic model, making it both scalable to big corpora and fast in out-of-sample prediction, we develop Weibull hybrid autoencoding inference (WHAI) for deep latent Dirichlet allocation, which infers posterior samples via a hybrid of stochastic-gradient MCMC and autoencoding variational Bayes. The generative network of WHAI has a hierarchy of gamma distributions, while the inference network of WHAI is a Weibull upward-downward variational autoencoder, which integrates a deterministic-upward deep neural network, and a stochastic-downward deep generative model based on a hierarchy of Weibull distributions. The Weibull distribution can be used to well approximate a gamma distribution with an analytic Kullback-Leibler divergence, and has a simple reparameterization via the uniform noise, which help efficiently compute the gradients of the evidence lower bound with respect to the parameters of the inference network. The effectiveness and efficiency of WHAI are illustrated with experiments on big corpora.","['Continuous fidelity', 'Bayesian optimization', 'fast', 'knowledge gradient', 'hyperparameter optimization']",,continuous fidelity ; bayesian optimization ; fast ; knowledge gradient ; hyperparameter optimization,missingkeyword,5,0,7,9,203,159,4,3,https://openreview.net/forum?id=SknC0bW0-,https://openreview.net/forum?id=S1cZsf-RW,3,3,5.0,5.666666666666667,1.0,0.5773502691896258,1.0,1.0,4.666666666666667,3.333333333333333,1.0,1.0,0.9409666666666666,0.3249,0.1949317738791423,0.1633345720302242,0.0,0.0,1.084210867105604,0.334448160535117,282.6666666666667,243.0,0,0,4.666666666666667,3.333333333333333,0.36388286334056397,0.5667028199566161,2018_4,2018_3,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7441685094149787,-0.8730046598621533,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.7074074074074074,0.18888888888888888,0.345413681410521,0.34692312638053624,-0.6392606861699415,-0.6325916285184581,0.006669057651483401,2018
Hk3ddfWRW,BJMuY-gRW,2018,2018,1,0,Accept (Poster),Reject,1,1,Imitation Learning from Visual Data with Multiple Intentions,Jointly Learning Sentence Embeddings and Syntax with Unsupervised Tree-LSTMs,"Recent advances in learning from demonstrations (LfD) with deep neural networks have enabled learning complex robot skills that involve high dimensional perception such as raw image inputs. LfD algorithms generally assume learning from single task demonstrations. In practice, however, it is more efficient for a teacher to demonstrate a multitude of tasks without careful task set up, labeling, and engineering. Unfortunately in such cases, traditional imitation learning techniques fail to represent the multi-modal nature of the data, and often result in sub-optimal behavior. In this paper we present an LfD approach for learning multiple modes of behavior from visual data. Our approach is based on a stochastic deep neural network (SNN), which represents the underlying intention in the demonstration as a stochastic activation in the network. We present an efficient algorithm for training SNNs, and for learning with vision inputs, we also propose an architecture that associates the intention with a stochastic attention module. We demonstrate our method on real robot visual object reaching tasks, and show that it can reliably learn the multiple behavior modes in the demonstration data. Video results are available at https://vimeo.com/240212286/fd401241b9.","We introduce a neural network that represents sentences by composing their words according to induced binary parse trees. We use Tree-LSTM as our composition function, applied along a tree structure found by a fully differentiable natural language chart parser. Our model simultaneously optimises both the composition function and the parser, thus eliminating the need for externally-provided parse trees which are normally required for Tree-LSTM. It can therefore be seen as a tree-based RNN that is unsupervised with respect to the parse trees. As it is fully differentiable, our model is easily trained with an off-the-shelf gradient descent method and backpropagation. We demonstrate that it achieves better performance compared to various supervised Tree-LSTM architectures on a textual entailment task and a reverse dictionary task. Finally, we show how performance can be improved with an attention mechanism which fully exploits the parse chart, by attending over all possible subspans of the sentence.","['multi-modal imitation learning', 'deep learning', 'generative models', 'stochastic neural networks']","['hierarchical', 'tree-lstm', 'treelstm', 'syntax', 'composition']",multi modal imitation learning ; deep learning ; generative models ; stochastic neural networks,hierarchical ; tree lstm ; treelstm ; syntax ; composition,4,5,8,10,192,157,5,4,https://openreview.net/forum?id=Hk3ddfWRW,https://openreview.net/forum?id=BJMuY-gRW,3,3,5.333333333333333,5.0,1.1547005383792517,1.0,1.0,1.0,3.6666666666666665,4.0,1.0,1.0,0.9701,0.3994666666666667,-0.1958756028612244,0.3436426116838487,0.0,0.0,0.7870079566450704,0.9021562423556712,340.0,290.3333333333333,0,0,3.6666666666666665,4.0,0.4642082429501085,0.36388286334056397,2018_5,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8206434228414593,-0.6772673814467791,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.8592592592592593,0.26296296296296295,0.34768493119643973,0.35043471588430775,-0.6292309800135929,-0.6171289163123427,0.01210206370125022,2018
HJDV5YxCW,rJJzTyWCZ,2018,2018,0,0,Reject,Reject,1,1,Heterogeneous Bitwidth Binarization in Convolutional Neural Networks,Large-scale Cloze Test Dataset Designed by Teachers,"Recent work has shown that performing inference with fast, very-low-bitwidth (e.g., 1 to 2 bits) representations of values in models can yield surprisingly accurate results. However, although 2-bit approximated networks have been shown to be quite accurate, 1 bit approximations, which are twice as fast, have restrictively low accuracy. We propose a method to train models whose weights are a mixture of bitwidths, that allows us to more finely tune the accuracy/speed trade-off. We present the “middle-out” criterion for determining the bitwidth for each value, and show how to integrate it into training models with a desired mixture of bitwidths. We evaluate several architectures and binarization techniques on the ImageNet dataset. We show that our heterogeneous bitwidth approximation achieves superlinear scaling of accuracy with bitwidth. Using an average of only 1.4 bits, we are able to outperform state-of-the-art 2-bit architectures.","Cloze test is widely adopted in language exams to evaluate students' language proficiency. In this paper, we propose the first large-scale human-designed cloze test dataset CLOTH in which the questions were used in middle-school and high-school language exams. With the missing blanks carefully created by teachers and candidate choices purposely designed to be confusing, CLOTH requires a deeper language understanding and a wider attention span than previous automatically generated cloze datasets. We show humans outperform dedicated designed baseline models by a significant margin, even when the model is trained on sufficiently large external data. We investigate the source of the performance gap, trace model deficiencies to some distinct properties of CLOTH, and identify the limited ability of comprehending a long-term context to be the key bottleneck. In addition, we find that human-designed data leads to a larger gap between the model's performance and human performance when compared to automatically generated data.","['Deep Learning', 'Computer Vision', 'Approximation']","['dataset', 'human-designed', 'language understanding']",deep learning ; computer vision ; approximation,dataset ; human designed ; language understanding,3,3,7,8,145,157,7,4,https://openreview.net/forum?id=HJDV5YxCW,https://openreview.net/forum?id=rJJzTyWCZ,3,3,5.0,5.0,1.0,1.7320508075688772,1.0,1.0,4.0,4.0,1.0,1.0,0.9386333333333332,0.3737333333333333,1.2529976505449167,0.1333333333333333,0.0,0.0,0.4698234258786124,1.0466441694788151,221.0,309.6666666666667,0,0,4.0,4.0,0.36388286334056397,0.36388286334056397,2018_7,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7380435163487844,-0.7448173049768055,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.6962962962962963,0.22592592592592592,0.35109259490051903,0.3374723713115266,-0.6142400415236613,-0.6745786164905353,0.060338574966874,2018
SkxqZngC-,rJ5C67-C-,2018,2018,0,0,Reject,Reject,1,1,A Bayesian Nonparametric Topic Model with Variational Auto-Encoders,Hyperedge2vec: Distributed Representations for Hyperedges,"Topic modeling of text documents is one of the most important tasks in representation learning. In this work, we propose iTM-VAE, which is a Bayesian nonparametric (BNP) topic model with variational auto-encoders. On one hand, as a BNP topic model, iTM-VAE potentially has infinite topics and can adapt the topic number to data automatically. On the other hand, different with the other BNP topic models, the inference of iTM-VAE is modeled by neural networks, which has rich representation capacity and can be computed in a simple feed-forward manner. Two variants of iTM-VAE are also proposed in this paper, where iTM-VAE-Prod models the generative process in products-of-experts fashion for better performance and iTM-VAE-G places a prior over the concentration parameter such that the model can adapt a suitable concentration parameter to data automatically. Experimental results on 20News and Reuters RCV1-V2 datasets show that the proposed models outperform the state-of-the-arts in terms of perplexity, topic coherence and document retrieval tasks. Moreover, the ability of adjusting the concentration parameter to data is also confirmed by experiments.","Data structured in form of overlapping or non-overlapping sets is found in a variety of domains, sometimes explicitly but often subtly. For example, teams, which are of prime importance in social science studies are \\enquote{sets of individuals}; \\enquote{item sets} in pattern mining are sets; and for various types of analysis in language studies a sentence can be considered as a \\enquote{set or bag of words}. Although building models and inference algorithms for structured data has been an important task in the fields of machine learning and statistics, research on \\enquote{set-like} data still remains less explored. Relationships between pairs of elements can be modeled as edges in a graph. However, modeling relationships that involve all members of a set, a hyperedge is a more natural representation for the set. In this work, we focus on the problem of embedding hyperedges in a hypergraph (a network of overlapping sets) to a low dimensional vector space. We propose a probabilistic deep-learning based method as well as a tensor-based algebraic model, both of which capture the hypergraph structure in a principled manner without loosing set-level information. Our central focus is to highlight the connection between hypergraphs (topology), tensors (algebra) and probabilistic models. We present a number of interesting baselines, some of which adapt existing node-level embedding models to the hyperedge-level, as well as sequence based language techniques which are adapted for set structured hypergraph topology. The performance is evaluated with a network of social groups and a network of word phrases. Our experiments show that accuracy wise our methods perform similar to those of baselines which are not designed for hypergraphs. Moreover, our tensor based method is quiet efficient as compared to deep-learning based auto-encoder method. We therefore, argue that we have proposed more general methods which are suited for hypergraphs (and therefore also for graphs) while maintaining accuracy and efficiency.","['topic model', 'Bayesian nonparametric', 'variational auto-encoder', 'document modeling']","['hypergraph', 'representation learning', 'tensors']",topic model ; bayesian nonparametric ; variational auto encoder ; document modeling,hypergraph ; representation learning ; tensors,4,3,9,6,189,320,4,11,https://openreview.net/forum?id=SkxqZngC-,https://openreview.net/forum?id=rJ5C67-C-,3,3,5.0,5.0,2.0,0.0,1.0,1.0,3.333333333333333,3.333333333333333,1.0,1.0,0.9583666666666666,0.2061333333333333,-0.0436880542514345,0.5664100306589489,0.0,0.0,0.5183432141263467,1.1591705224509674,360.0,308.0,0,0,3.333333333333333,3.333333333333333,0.36388286334056397,0.36388286334056397,2018_4,2018_11,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7898434577085974,-1.1847668069314328,0.5288750031382565,0.5288750031382565,1,0,35-65,35-65,0.7962962962962963,0.12962962962962962,0.35691690307642454,0.36943137682491173,-0.5887709588563982,-0.5346569846488313,0.05411397420756692,2018
