forum_treated,forum_control,year_treated,year_control,accept_treated,accept_control,decision_raw_treated,decision_raw_control,decision_parse_success_treated,decision_parse_success_control,title_treated,title_control,abstract_treated,abstract_control,keywords_raw_treated,keywords_raw_control,keyword_document_treated,keyword_document_control,keyword_count_treated,keyword_count_control,title_length_treated,title_length_control,abstract_length_treated,abstract_length_control,topic_cluster_treated,topic_cluster_control,link_treated,link_control,num_reviews_treated,num_reviews_control,mean_score_treated,mean_score_control,score_std_treated,score_std_control,rating_parse_success_share_treated,rating_parse_success_share_control,confidence_mean_treated,confidence_mean_control,confidence_parse_success_share_treated,confidence_parse_success_share_control,mean_sentiment_treated,mean_sentiment_control,mean_politeness_treated,mean_politeness_control,mean_toxicity_treated,mean_toxicity_control,mean_constructiveness_treated,mean_constructiveness_control,review_length_mean_treated,review_length_mean_control,confidence_missing_treated,confidence_missing_control,confidence_mean_imputed_treated,confidence_mean_imputed_control,mean_score_percentile_treated,mean_score_percentile_control,year_topic_cluster_treated,year_topic_cluster_control,parse_status_treated,parse_status_control,mean_sentiment_z_treated,mean_sentiment_z_control,within_year_sentiment_median_treated,within_year_sentiment_median_control,high_sentiment_treated,high_sentiment_control,borderline_window_treated,borderline_window_control,propensity_score_treated,propensity_score_control,propensity_logit_treated,propensity_logit_control,distance,year
SySisz-CW,r1h2DllAW,2018,2018,0,0,Reject,Reject,1,1,On the difference between building and extracting patterns: a causal analysis of deep generative models.,Discrete-Valued Neural Networks Using Variational Inference,"Generative models are important tools to capture and investigate the properties of complex empirical data. Recent developments such as Generative Adversarial Networks (GANs) and Variational Auto-Encoders (VAEs) use two very similar, but \\textit{reverse}, deep convolutional architectures, one to generate and one to extract information from data. Does learning the parameters of both architectures obey the same rules? We exploit the causality principle of independence of mechanisms to quantify how the weights of successive layers adapt to each other. Using the recently introduced Spectral Independence Criterion, we quantify the dependencies between the kernels of successive convolutional layers and show that those are more independent for the generative process than for information extraction, in line with results from the field of causal inference. In addition, our experiments on generation of human faces suggest that more independence between successive layers of generators results in improved performance of these architectures.","The increasing demand for neural networks (NNs) being employed on embedded devices has led to plenty of research investigating methods for training low precision NNs. While most methods involve a quantization step, we propose a principled Bayesian approach where we first infer a distribution over a discrete weight space from which we subsequently derive hardware-friendly low precision NNs. To this end, we introduce a probabilistic forward pass to approximate the intractable variational objective that allows us to optimize over discrete-valued weight distributions for NNs with sign activation functions. In our experiments, we show that our model achieves state of the art performance on several real world data sets. In addition, the resulting models exhibit a substantial amount of sparsity that can be utilized to further reduce the computational costs for inference.","['GAN', 'VAE', 'causality']","['low-precision', 'neural networks', 'resource efficient', 'variational inference', 'Bayesian']",gan ; vae ; causality,low precision ; neural networks ; resource efficient ; variational inference ; bayesian,3,5,15,7,148,133,4,6,https://openreview.net/forum?id=SySisz-CW,https://openreview.net/forum?id=r1h2DllAW,3,3,5.333333333333333,5.333333333333333,2.8867513459481287,0.5773502691896257,1.0,1.0,3.0,3.0,1.0,1.0,0.9058333333333332,0.2165333333333333,1.2807403444107563,0.0073901636921257,0.0,0.0,1.382696232883499,0.981968000591213,211.66666666666663,225.3333333333333,0,0,3.0,3.0,0.4642082429501085,0.4642082429501085,2018_4,2018_6,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.6559350941323066,-1.1808144285719608,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.25674071496389844,0.2593274924937168,-1.0629782698497536,-1.049466854683602,0.01351141516615173,2018
SkFvV0yC-,SkBYYyZRZ,2018,2018,0,0,Reject,Invite to Workshop Track,1,1,Network Iterative Learning for Dynamic Deep Neural Networks via Morphism,Searching for Activation Functions,"In this research, we present a novel learning scheme called network iterative learning for deep neural networks. Different from traditional optimization algorithms that usually optimize directly on a static objective function, we propose in this work to optimize a dynamic objective function in an iterative fashion capable of adapting its function form when being optimized. The optimization is implemented as a series of intermediate neural net functions that is able to dynamically grow into the targeted neural net objective function. This is done via network morphism so that the network knowledge is fully preserved with each network growth. Experimental results demonstrate that the proposed network iterative learning scheme is able to significantly alleviate the degradation problem. Its effectiveness is verified on diverse benchmark datasets.","The choice of activation functions in deep networks has a significant effect on the training dynamics and task performance. Currently, the most successful and widely-used activation function is the Rectified Linear Unit (ReLU). Although various hand-designed alternatives to ReLU have been proposed, none have managed to replace it due to inconsistent gains. In this work, we propose to leverage automatic search techniques to discover new activation functions. Using a combination of exhaustive and reinforcement learning-based search, we discover multiple novel activation functions. We verify the effectiveness of the searches by conducting an empirical evaluation with the best discovered activation function. Our experiments show that the best discovered activation function, f(x) = x * sigmoid(beta * x), which we name Swish, tends to work better than ReLU on deeper models across a number of challenging datasets. For example, simply replacing ReLUs with Swish units improves top-1 classification accuracy on ImageNet by 0.9% for Mobile NASNet-A and 0.6% for Inception-ResNet-v2. The simplicity of Swish and its similarity to ReLU make it easy for practitioners to replace ReLUs with Swish units in any neural network.","['Network Iterative Learning', 'Morphism']","['meta learning', 'activation functions']",network iterative learning ; morphism,meta learning ; activation functions,2,2,10,4,124,185,9,4,https://openreview.net/forum?id=SkFvV0yC-,https://openreview.net/forum?id=SkBYYyZRZ,3,3,5.666666666666667,5.333333333333333,1.1547005383792517,1.5275252316519468,1.0,1.0,3.0,4.666666666666667,1.0,1.0,0.9639333333333332,0.7756,1.0714918995158254,0.4073467903255137,0.0,0.0,1.2175429050208249,1.5394799054373525,158.66666666666666,153.66666666666666,0,0,3.0,4.666666666666667,0.5667028199566161,0.4642082429501085,2018_9,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8107517882700087,0.30890765638359696,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.2868345381126538,0.28470861640780637,-0.9108079305984553,-0.9212237304823644,0.01041579988390906,2018
rJSr0GZR-,SyL9u-WA-,2018,2018,0,0,Reject,Reject,1,1,Learning Priors for Adversarial Autoencoders,Stabilizing Gradients for Deep Neural Networks via Efficient SVD Parameterization,"Most deep latent factor models choose simple priors for simplicity, tractability or not knowing what prior to use. Recent studies show that the choice of the prior may have a profound effect on the expressiveness of the model, especially when its generative network has limited capacity. In this paper, we propose to learn a proper prior from data for adversarial autoencoders (AAEs). We introduce the notion of code generators to transform manually selected simple priors into ones that can better characterize the data distribution. Experimental results show that the proposed model can generate better image quality and learn better disentangled representations than AAEs in both supervised and unsupervised settings. Lastly, we present its ability to do cross-domain translation in a text-to-image synthesis task.","Vanishing and exploding gradients are two of the main obstacles in training deep neural networks, especially in capturing long range dependencies in recurrent neural networks (RNNs). In this paper, we present an efficient parametrization of the transition matrix of an RNN that allows us to stabilize the gradients that arise in its training. Specifically, we parameterize the transition matrix by its singular value decomposition (SVD), which allows us to explicitly track and control its singular values. We attain efficiency by using tools that are common in numerical linear algebra, namely Householder reflectors for representing the orthogonal matrices that arise in the SVD. By explicitly controlling the singular values, our proposed svdRNN method allows us to easily solve the exploding gradient problem and we observe that it empirically solves the vanishing gradient issue to a large extent. We note that the SVD parameterization can be used for any rectangular weight matrix, hence it can be easily extended to any deep neural network, such as a multi-layer perceptron. Theoretically, we demonstrate that our parameterization does not lose any expressive power, and show how it potentially makes the optimization process easier. Our extensive experimental results also demonstrate that the proposed framework converges faster, and has good generalization, especially when the depth is large.","['deep learning', 'computer vision', 'generative adversarial networks']","['Recurrent Neural Network', 'Vanishing Gradient', 'Exploding Gradient', 'Linear Algebra', 'Householder Reflections']",deep learning ; computer vision ; generative adversarial networks,recurrent neural network ; vanishing gradient ; exploding gradient ; linear algebra ; householder reflections,3,5,5,10,126,211,5,9,https://openreview.net/forum?id=rJSr0GZR-,https://openreview.net/forum?id=SyL9u-WA-,3,3,5.666666666666667,5.666666666666667,0.5773502691896258,1.1547005383792517,1.0,1.0,3.333333333333333,3.6666666666666665,1.0,1.0,0.9460666666666668,-0.3129333333333333,0.721057811297222,0.2364066193853428,0.0,0.0,2.235987871346988,2.315976389409595,222.3333333333333,162.33333333333334,0,0,3.333333333333333,3.6666666666666665,0.5667028199566161,0.5667028199566161,2018_5,2018_9,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7631432122184844,-2.5916626039496187,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.30889107087016354,0.3120534308073722,-0.8053087578927206,-0.7905367481251775,0.014772009767543115,2018
SJ60SbW0b,r1uOhfb0W,2018,2018,0,0,Reject,Reject,1,1,Modeling Latent Attention Within Neural Networks,Learning Sparse Structured Ensembles with SG-MCMC and Network Pruning,"Deep neural networks are able to solve tasks across a variety of domains and modalities of data. Despite many empirical successes, we lack the ability to clearly understand and interpret the learned mechanisms that contribute to such effective behaviors and more critically, failure modes. In this work, we present a general method for visualizing an arbitrary neural network's inner mechanisms and their power and limitations. Our dataset-centric method produces visualizations of how a trained network attends to components of its inputs. The computed ""attention masks"" support improved interpretability by highlighting which input attributes are critical in determining output. We demonstrate the effectiveness of our framework on a variety of deep neural network architectures in domains from computer vision and natural language processing. The primary contribution of our approach is an interpretable visualization of attention that provides unique insights into the network's underlying decision-making process irrespective of the data modality.","An ensemble of neural networks is known to be more robust and accurate than an individual network, however usually with linearly-increased cost in both training and testing. In this work, we propose a two-stage method to learn Sparse Structured Ensembles (SSEs) for neural networks. In the first stage, we run SG-MCMC with group sparse priors to draw an ensemble of samples from the posterior distribution of network parameters. In the second stage, we apply weight-pruning to each sampled network and then perform retraining over the remained connections. In this way of learning SSEs with SG-MCMC and pruning, we not only achieve high prediction accuracy since SG-MCMC enhances exploration of the model-parameter space, but also reduce memory and computation cost significantly in both training and testing of NN ensembles. This is thoroughly evaluated in the experiments of learning SSE ensembles of both FNNs and LSTMs. For example, in LSTM based language modeling (LM), we obtain 21\\% relative reduction in LM perplexity by learning a SSE of 4 large LSTM models, which has only 30\\% of model parameters and 70\\% of computations in total, as compared to the baseline large LSTM LM. To the best of our knowledge, this work represents the first methodology and empirical study of integrating SG-MCMC, group sparse prior and network pruning together for learning NN ensembles.","['deep learning', 'neural network', 'attention', 'attention mechanism', 'interpretability', 'visualization']","['ensemble learning', 'SG-MCMC', 'group sparse prior', 'network pruning']",deep learning ; neural network ; attention ; attention mechanism ; interpretability ; visualization,ensemble learning ; sg mcmc ; group sparse prior ; network pruning,6,4,6,10,151,223,9,4,https://openreview.net/forum?id=SJ60SbW0b,https://openreview.net/forum?id=r1uOhfb0W,3,3,5.333333333333333,5.333333333333333,1.5275252316519463,1.1547005383792517,1.0,1.0,4.0,4.0,1.0,1.0,0.9414333333333332,0.7886333333333333,1.090342812882661,0.1566670044930914,0.0,0.0,1.127954165671998,1.8873940069592243,172.33333333333334,205.66666666666663,0,0,4.0,4.0,0.4642082429501085,0.4642082429501085,2018_9,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.7507969583543754,0.3436370467495416,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.33500496070021274,0.33294214100180924,-0.6856342411526974,-0.69490806313949,0.009273821986792607,2018
rkdU7tCaZ,Byht0GbRZ,2018,2018,0,0,Reject,Reject,1,1,Dynamic Evaluation of Neural Sequence Models,STRUCTURED ALIGNMENT NETWORKS,"We present methodology for using dynamic evaluation to improve neural sequence models. Models are adapted to recent history via a gradient descent based mechanism, causing them to assign higher probabilities to re-occurring sequential patterns. Dynamic evaluation outperforms existing adaptation approaches in our comparisons. Dynamic evaluation improves the state-of-the-art word-level perplexities on the Penn Treebank and WikiText-2 datasets to 51.1 and 44.3 respectively, and the state-of-the-art character-level cross-entropies on the text8 and Hutter Prize datasets to 1.19 bits/char and 1.08 bits/char respectively.","Many tasks in natural language processing involve comparing two sentences to compute some notion of relevance, entailment, or similarity. Typically this comparison is done either at the word level or at the sentence level, with no attempt to leverage the inherent structure of the sentence. When sentence structure is used for comparison, it is obtained during a non-differentiable pre-processing step, leading to propagation of errors. We introduce a model of structured alignments between sentences, showing how to compare two sentences by matching their latent structures. Using a structured attention mechanism, our model matches possible spans in the first sentence to possible spans in the second sentence, simultaneously discovering the tree structure of each sentence and performing a comparison, in a model that is fully differentiable and is trained only on the comparison objective. We evaluate this model on two sentence comparison tasks: the Stanford natural language inference dataset and the TREC-QA dataset. We find that comparing spans results in superior performance to comparing words individually, and that the learned trees are consistent with actual linguistic structures.","['sequence modelling', 'language', 'recurrent neural networks', 'adaptation']","['structured attention', 'sentence matching']",sequence modelling ; language ; recurrent neural networks ; adaptation,structured attention ; sentence matching,4,2,6,3,89,179,12,4,https://openreview.net/forum?id=rkdU7tCaZ,https://openreview.net/forum?id=Byht0GbRZ,3,3,5.666666666666667,5.333333333333333,2.309401076758503,0.5773502691896257,1.0,1.0,3.6666666666666665,4.0,1.0,1.0,0.9622333333333332,0.2229666666666666,0.4318882568396754,0.5815565576521752,0.0,0.0,0.9615282243342874,0.7637059201294066,252.3333333333333,205.3333333333333,0,0,3.6666666666666665,4.0,0.5667028199566161,0.4642082429501085,2018_12,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.806221867787494,-1.1636717883146022,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.35315135081775556,0.3537122761348497,-0.6052156191589052,-0.6027609942351753,0.0024546249237299422,2018
SJCPLLpaW,SJLlmG-AZ,2018,2018,0,1,Reject,Accept (Poster),1,1,Exploring the Hidden Dimension in Accelerating Convolutional Neural Networks,Understanding image motion with group representations,DeePa is a deep learning framework that explores parallelism in all parallelizable dimensions to accelerate the training process of convolutional neural networks. DeePa optimizes parallelism at the granularity of each individual layer in the network. We present an elimination-based algorithm that finds an optimal parallelism configuration for every layer. Our evaluation shows that DeePa achieves up to 6.5× speedup compared to state-of-the-art deep learning frameworks and reduces data transfers by up to 23×.,"Motion is an important signal for agents in dynamic environments, but learning to represent motion from unlabeled video is a difficult and underconstrained problem. We propose a model of motion based on elementary group properties of transformations and use it to train a representation of image motion. While most methods of estimating motion are based on pixel-level constraints, we use these group properties to constrain the abstract representation of motion itself. We demonstrate that a deep neural network trained using this method captures motion in both synthetic 2D sequences and real-world sequences of vehicle motion, without requiring any labels. Networks trained to respect these constraints implicitly identify the image characteristic of motion in different sequence types. In the context of vehicle motion, this method extracts information useful for localization, tracking, and odometry. Our results demonstrate that this representation is useful for learning motion in the general setting where explicit labels are difficult to obtain.","['Parallelism of Convolutional Neural Networks', 'Accelerating Convolutional Neural Networks']","['vision', 'motion', 'recurrent neural networks', 'self-supervised learning', 'unsupervised learning', 'group theory']",parallelism of convolutional neural networks ; accelerating convolutional neural networks,vision ; motion ; recurrent neural networks ; self supervised learning ; unsupervised learning ; group theory,2,6,9,6,75,156,12,12,https://openreview.net/forum?id=SJCPLLpaW,https://openreview.net/forum?id=SJLlmG-AZ,3,3,5.333333333333333,5.333333333333333,1.5275252316519463,1.5275252316519468,1.0,1.0,4.333333333333333,3.6666666666666665,1.0,1.0,0.9729,0.4035666666666667,-0.1348784085495692,1.1204794088511725,0.0,0.0,1.1378258833658543,0.9103338553707708,237.0,219.0,0,0,4.333333333333333,3.6666666666666665,0.4642082429501085,0.4642082429501085,2018_12,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.834644898266017,-0.6824343535251186,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.3542731814930339,0.3544499359908768,-0.6003082181148505,-0.5995356540612851,0.0007725640535654055,2018
Hk3ddfWRW,r1pW0WZAW,2018,2018,1,0,Accept (Poster),Invite to Workshop Track,1,1,Imitation Learning from Visual Data with Multiple Intentions,Analyzing and Exploiting NARX Recurrent Neural Networks for Long-Term Dependencies,"Recent advances in learning from demonstrations (LfD) with deep neural networks have enabled learning complex robot skills that involve high dimensional perception such as raw image inputs. LfD algorithms generally assume learning from single task demonstrations. In practice, however, it is more efficient for a teacher to demonstrate a multitude of tasks without careful task set up, labeling, and engineering. Unfortunately in such cases, traditional imitation learning techniques fail to represent the multi-modal nature of the data, and often result in sub-optimal behavior. In this paper we present an LfD approach for learning multiple modes of behavior from visual data. Our approach is based on a stochastic deep neural network (SNN), which represents the underlying intention in the demonstration as a stochastic activation in the network. We present an efficient algorithm for training SNNs, and for learning with vision inputs, we also propose an architecture that associates the intention with a stochastic attention module. We demonstrate our method on real robot visual object reaching tasks, and show that it can reliably learn the multiple behavior modes in the demonstration data. Video results are available at https://vimeo.com/240212286/fd401241b9.","Recurrent neural networks (RNNs) have achieved state-of-the-art performance on many diverse tasks, from machine translation to surgical activity recognition, yet training RNNs to capture long-term dependencies remains difficult. To date, the vast majority of successful RNN architectures alleviate this problem using nearly-additive connections between states, as introduced by long short-term memory (LSTM). We take an orthogonal approach and introduce MIST RNNs, a NARX RNN architecture that allows direct connections from the very distant past. We show that MIST RNNs 1) exhibit superior vanishing-gradient properties in comparison to LSTM and previously-proposed NARX RNNs; 2) are far more efficient than previously-proposed NARX RNN architectures, requiring even fewer computations than LSTM; and 3) improve performance substantially over LSTM and Clockwork RNNs on tasks requiring very long-term dependencies.","['multi-modal imitation learning', 'deep learning', 'generative models', 'stochastic neural networks']","['recurrent neural networks', 'long-term dependencies', 'long short-term memory', 'LSTM']",multi modal imitation learning ; deep learning ; generative models ; stochastic neural networks,recurrent neural networks ; long term dependencies ; long short term memory ; lstm,4,4,8,11,192,131,5,12,https://openreview.net/forum?id=Hk3ddfWRW,https://openreview.net/forum?id=r1pW0WZAW,3,3,5.333333333333333,5.333333333333333,1.1547005383792517,2.081665999466133,1.0,1.0,3.6666666666666665,4.333333333333333,1.0,1.0,0.9701,0.1901666666666667,-0.1958756028612244,0.3145405319318363,0.0,0.0,0.7870079566450704,1.2106960956065815,340.0,279.0,0,0,3.6666666666666665,4.333333333333333,0.4642082429501085,0.4642082429501085,2018_5,2018_12,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8271838527654047,-1.2510726070360583,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.37064681274883854,0.3723507473042561,-0.5294429830987147,-0.5221452164762576,0.00729776662245718,2018
Sy4c-3xRW,S1cZsf-RW,2018,2018,0,1,Invite to Workshop Track,Accept (Poster),1,1,DropMax: Adaptive Stochastic Softmax,WHAI: Weibull Hybrid Autoencoding Inference for Deep Topic Modeling,"We propose DropMax, a stochastic version of softmax classifier which at each iteration drops non-target classes with some probability, for each instance. Specifically, we overlay binary masking variables over class output probabilities, which are learned based on the input via regularized variational inference. This stochastic regularization has an effect of building an ensemble classifier out of combinatorial number of classifiers with different decision boundaries. Moreover, the learning of dropout probabilities for non-target classes on each instance allows the classifier to focus more on classification against the most confusing classes. We validate our model on multiple public datasets for classification, on which it obtains improved accuracy over regular softmax classifier and other baselines. Further analysis of the learned dropout masks shows that our model indeed selects confusing classes more often when it performs classification.","To train an inference network jointly with a deep generative topic model, making it both scalable to big corpora and fast in out-of-sample prediction, we develop Weibull hybrid autoencoding inference (WHAI) for deep latent Dirichlet allocation, which infers posterior samples via a hybrid of stochastic-gradient MCMC and autoencoding variational Bayes. The generative network of WHAI has a hierarchy of gamma distributions, while the inference network of WHAI is a Weibull upward-downward variational autoencoder, which integrates a deterministic-upward deep neural network, and a stochastic-downward deep generative model based on a hierarchy of Weibull distributions. The Weibull distribution can be used to well approximate a gamma distribution with an analytic Kullback-Leibler divergence, and has a simple reparameterization via the uniform noise, which help efficiently compute the gradients of the evidence lower bound with respect to the parameters of the inference network. The effectiveness and efficiency of WHAI are illustrated with experiments on big corpora.",,,missingkeyword,missingkeyword,0,0,4,9,135,159,3,3,https://openreview.net/forum?id=Sy4c-3xRW,https://openreview.net/forum?id=S1cZsf-RW,3,3,5.333333333333333,5.666666666666667,1.1547005383792517,0.5773502691896258,1.0,1.0,3.333333333333333,3.333333333333333,1.0,1.0,0.8874333333333334,0.3249,0.1618122977346278,0.1633345720302242,0.0,0.0,2.28193858879419,0.334448160535117,265.0,243.0,0,0,3.333333333333333,3.333333333333333,0.4642082429501085,0.5667028199566161,2018_3,2018_3,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.606905366556856,-0.8920542033042217,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.37418109080969764,0.37538805302182504,-0.5143211665527995,-0.5091702730888391,0.00515089346396036,2018
Sy-tszZRZ,HJZiRkZC-,2018,2018,0,0,Reject,Reject,1,1,Bounding and Counting Linear Regions of Deep Neural Networks,Byte-Level Recursive Convolutional Auto-Encoder for Text,"In this paper, we study the representational power of deep neural networks (DNN) that belong to the family of piecewise-linear (PWL) functions, based on PWL activation units such as rectifier or maxout. We investigate the complexity of such networks by studying the number of linear regions of the PWL function. Typically, a PWL function from a DNN can be seen as a large family of linear functions acting on millions of such regions. We directly build upon the work of Mont´ufar et al. (2014), Mont´ufar (2017), and Raghu et al. (2017) by refining the upper and lower bounds on the number of linear regions for rectified and maxout networks. In addition to achieving tighter bounds, we also develop a novel method to perform exact numeration or counting of the number of linear regions with a mixed-integer linear formulation that maps the input space to output. We use this new capability to visualize how the number of linear regions change while training DNNs.","This article proposes to auto-encode text at byte-level using convolutional networks with a recursive architecture. The motivation is to explore whether it is possible to have scalable and homogeneous text generation at byte-level in a non-sequential fashion through the simple task of auto-encoding. We show that non-sequential text generation from a fixed-length representation is not only possible, but also achieved much better auto-encoding results than recurrent networks. The proposed model is a multi-stage deep convolutional encoder-decoder framework using residual connections, containing up to 160 parameterized layers. Each encoder or decoder contains a shared group of modules that consists of either pooling or upsampling layers, making the network recursive in terms of abstraction levels in representation. Results for 6 large-scale paragraph datasets are reported, in 3 languages including Arabic, Chinese and English. Analyses are conducted to study several properties of the proposed model.","['rectifier networks', 'maxout networks', 'piecewise linear functions', 'linear regions', 'mixed-integer programming']",,rectifier networks ; maxout networks ; piecewise linear functions ; linear regions ; mixed integer programming,missingkeyword,5,0,9,8,163,150,4,3,https://openreview.net/forum?id=Sy-tszZRZ,https://openreview.net/forum?id=HJZiRkZC-,3,3,5.333333333333333,5.666666666666667,1.1547005383792517,1.1547005383792517,1.0,1.0,4.333333333333333,4.0,1.0,1.0,0.9821,0.6554666666666668,1.7338184350666117,0.8062725136343643,0.0,0.0,1.1093250001500934,1.7957609641105143,248.3333333333333,286.0,0,0,4.333333333333333,4.0,0.4642082429501085,0.5667028199566161,2018_4,2018_3,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.8591597620537424,-0.011206724380761764,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.4057146293173505,0.4054156659644274,-0.38170959701305235,-0.38294968665384954,0.0012400896407971929,2018
rJ3fy0k0Z,rkrWCJWAW,2018,2018,0,0,Reject,Reject,1,1,Deterministic Policy Imitation Gradient Algorithm,Unbiasing Truncated Backpropagation Through Time,"The goal of imitation learning (IL) is to enable a learner to imitate an expert’s behavior given the expert’s demonstrations. Recently, generative adversarial imitation learning (GAIL) has successfully achieved it even on complex continuous control tasks. However, GAIL requires a huge number of interactions with environment during training. We believe that IL algorithm could be more applicable to the real-world environments if the number of interactions could be reduced. To this end, we propose a model free, off-policy IL algorithm for continuous control. The keys of our algorithm are two folds: 1) adopting deterministic policy that allows us to derive a novel type of policy gradient which we call deterministic policy imitation gradient (DPIG), 2) introducing a function which we call state screening function (SSF) to avoid noisy policy updates with states that are not typical of those appeared on the expert’s demonstrations. Experimental results show that our algorithm can achieve the goal of IL with at least tens of times less interactions than GAIL on a variety of continuous control tasks.","\\emph{Truncated Backpropagation Through Time} (truncated BPTT, \\cite{jaeger2002tutorial}) is a widespread method for learning recurrent computational graphs. Truncated BPTT keeps the computational benefits of \\emph{Backpropagation Through Time} (BPTT \\cite{werbos:bptt}) while relieving the need for a complete backtrack through the whole data sequence at every step. However, truncation favors short-term dependencies: the gradient estimate of truncated BPTT is biased, so that it does not benefit from the convergence guarantees from stochastic gradient theory. We introduce \\emph{Anticipated Reweighted Truncated Backpropagation} (ARTBP), an algorithm that keeps the computational benefits of truncated BPTT, while providing unbiasedness. ARTBP works by using variable truncation lengths together with carefully chosen compensation factors in the backpropagation equation. We check the viability of ARTBP on two tasks. First, a simple synthetic task where careful balancing of temporal dependencies at different scales is needed: truncated BPTT displays unreliable performance, and in worst case scenarios, divergence, while ARTBP converges reliably. Second, on Penn Treebank character-level language modelling \\cite{ptb_proc}, ARTBP slightly outperforms truncated BPTT.",['Imitation Learning'],['RNN'],imitation learning,rnn,1,1,5,5,175,172,4,4,https://openreview.net/forum?id=rJ3fy0k0Z,https://openreview.net/forum?id=rkrWCJWAW,3,3,5.333333333333333,5.333333333333333,0.5773502691896257,0.5773502691896257,1.0,1.0,3.6666666666666665,3.6666666666666665,1.0,1.0,0.8845000000000001,0.7122333333333334,0.1777421303310261,0.6284230573594994,0.0,0.0,1.2557444801943265,1.8587127529957297,290.3333333333333,290.3333333333333,0,0,3.6666666666666665,3.6666666666666665,0.4642082429501085,0.4642082429501085,2018_4,2018_4,decision=1;rating_share=1.0;confidence_share=1.0,decision=1;rating_share=1.0;confidence_share=1.0,0.5990890331752623,0.1400570909471248,0.4796234831952225,0.4796234831952225,1,0,40-60,40-60,0.40712312533585093,0.4079839064612213,-0.3758710872360356,-0.3723060908680179,0.003564996368017659,2018
