term,label,coef,std_err,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,model,n
Intercept,Intercept,0.6106567060313579,0.14662511391186384,3.11696127453319e-05,0.32327676353502194,0.8980366485276938,1.8416404181232142,1.3816476876929498,2.454778783242742,review_fe,20427
C(year)[T.2019],Year FE: 2019,0.10103799346707984,0.0883711316503656,0.25289865664166433,-0.0721662418406844,0.27424222877484405,1.1063186738470607,0.9303762154997984,1.3155334236970124,review_fe,20427
C(year)[T.2020],Year FE: 2020,0.01929417530988473,0.4291689624391928,0.9641415345227751,-0.8218615343533563,0.8604498849731258,1.0194815107985815,0.4396125384936699,2.3642240833745554,review_fe,20427
C(year)[T.2021],Year FE: 2021,-0.015744596801588323,0.06942120144259038,0.8205807387864998,-0.15180765139256552,0.12031845778938888,0.9843787014209074,0.859153521832164,1.1278559689130936,review_fe,20427
C(year)[T.2022],Year FE: 2022,0.07467405283005468,0.07145646854714531,0.296009754365822,-0.06537805198476929,0.21472615764487865,1.0775328748479467,0.9367132701189615,1.239522416748324,review_fe,20427
C(year)[T.2023],Year FE: 2023,0.04169182824267862,0.07119987852151062,0.5581709767527996,-0.09785736936310915,0.18124102584846638,1.042573137643216,0.9067782288871435,1.1987040631414425,review_fe,20427
C(topic_cluster)[T.2],Topic FE: cluster 2,0.598253442079409,0.12026952804467793,6.549302575900805e-07,0.36252949867421025,0.8339773854846078,1.8189391419045722,1.4369596087642817,2.3024583166939054,review_fe,20427
C(topic_cluster)[T.3],Topic FE: cluster 3,0.038796649202253904,0.0954848327036959,0.6845132473518382,-0.14835018396682237,0.22594348237133016,1.0395590669894366,0.8621291582663829,1.2535048181563018,review_fe,20427
C(topic_cluster)[T.4],Topic FE: cluster 4,0.11478448752429475,0.06617473994996498,0.08281761621536915,-0.014915619463940502,0.24448459451253002,1.1216316859011655,0.985195067383739,1.276962989835464,review_fe,20427
C(topic_cluster)[T.5],Topic FE: cluster 5,0.22478988701100527,0.10586716686027436,0.03372703457500739,0.017294052819575162,0.43228572120243536,1.252059614564282,1.0174444607542819,1.540775284442238,review_fe,20427
C(topic_cluster)[T.6],Topic FE: cluster 6,0.2624171866334922,0.14858840205071633,0.07738448124872405,-0.02881072990626926,0.5536451031732537,1.3000688006363248,0.9716003419525916,1.739582432619649,review_fe,20427
C(topic_cluster)[T.7],Topic FE: cluster 7,0.06889166457164628,0.09152349976801215,0.45161755965365935,-0.11049109871271753,0.2482744278560101,1.0713201409349378,0.8953943003159119,1.2818116487539795,review_fe,20427
C(topic_cluster)[T.8],Topic FE: cluster 8,0.14165524524406156,0.17914488805175657,0.42910153996687816,-0.20946228335184117,0.4927727738399643,1.1521793607432014,0.8110202278208253,1.6368485443200245,review_fe,20427
C(topic_cluster)[T.9],Topic FE: cluster 9,-0.11777187006063485,0.11185790168961238,0.2924004088100296,-0.33700932875849715,0.10146558863722747,0.888898813918297,0.7139021800506278,1.1067918315214007,review_fe,20427
C(topic_cluster)[T.10],Topic FE: cluster 10,0.08733788158725739,0.13200447033586374,0.5082095229012662,-0.1713861260693215,0.3460618892438363,1.091265335897515,0.8424962009117724,1.4134900929437249,review_fe,20427
C(topic_cluster)[T.11],Topic FE: cluster 11,0.08235677531434869,0.10398644785340652,0.42836343158999957,-0.1214529173585805,0.2861664679872779,1.0858431427586177,0.88563275029647,1.3313140579785665,review_fe,20427
C(topic_cluster)[T.12],Topic FE: cluster 12,0.12455287729898082,0.0914494845314773,0.17320244262531137,-0.054684818787467476,0.30379057338542914,1.132641909921744,0.9467835093065364,1.3549852563980638,review_fe,20427
sentiment,Review-level sentiment,0.8415387903412571,0.03416628066421496,5.92826429297328e-134,0.7745741107537085,0.9085034699288057,2.319934123753543,2.169667892163238,2.4806074505669966,review_fe,20427
politeness,Review-level politeness,0.20622207794751263,0.025212810084410762,2.855970851863405e-16,0.15680587823301925,0.255638277662006,1.2290261132873008,1.1697685143281817,1.2912855566210881,review_fe,20427
toxicity,Review-level toxicity,-1.6226242312180554,0.9724238065509656,0.09518895650727714,-3.5285398697672927,0.28329140733118185,0.19738004796733696,0.02934773611462654,1.3274919463437462,review_fe,20427
constructiveness,Review-level constructiveness,0.04794035898003618,0.017442637850183587,0.005987629043885023,0.013753416998301196,0.08212730096177116,1.0491080835824107,1.013848430324139,1.0855939981936698,review_fe,20427
confidence_numeric_imputed,Reviewer confidence,-0.3432410642415991,0.0214714571633292,1.6017636203864775e-57,-0.3853243469773189,-0.30115778150587935,0.7094671637805091,0.6802299698856813,0.7399610113728907,review_fe,20427
confidence_missing,Confidence missingness indicator,0.019294175309756998,0.29508863967698135,0.9478679939860745,-0.5590689307040437,0.5976572813235577,1.0194815107984512,0.5717411467343171,1.8178550849391035,review_fe,20427
review_length,Review length (tokens),-0.00044312673877504717,7.026424516682615e-05,2.852775933577044e-10,-0.000580842128702919,-0.00030541134884717533,0.9995569714273776,0.9994193265274305,0.9996946352844512,review_fe,20427
title_length,Title length (tokens),-0.01905988277262785,0.006876461925189231,0.005575460842414631,-0.03253750048705971,-0.005582265058195994,0.9811206082613428,0.9679861491986026,0.9944332868316801,review_fe,20427
abstract_length,Abstract length (tokens),0.0007463147392044856,0.00042182445635736336,0.07685144383607333,-8.04460030541345e-05,0.0015730754814631057,1.0007465933013435,0.9999195572326388,1.0015743134137334,review_fe,20427
keyword_count,Number of keywords,0.01078168583693741,0.01255260048893426,0.3903843807425845,-0.013820959033693613,0.03538433070756843,1.01084001766166,0.9862741119260099,1.0360178057506193,review_fe,20427
