feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,year,pseudo_r2
const,-1.8756132420731975,0.17473244029631843,-10.73420161071668,0.0,-2.2180888250539814,-1.5331376590924133,0.15326095195701406,0.10881687831133072,0.21585731698319044,922,2018,0.631132622917568
mean_score,4.414935019519135,0.3185513087667641,13.85941572995278,0.0,3.790574454336277,5.039295584701992,82.67646837488402,44.28183086068541,154.36124229930712,922,2018,0.631132622917568
score_std,0.1228528592461911,0.10984851722275392,1.118384320082051,0.2634028881889283,-0.09245023451040657,0.3381559530027888,1.1307180340027707,0.9116945807626986,1.402359188479012,922,2018,0.631132622917568
num_reviews,-0.09364150251163453,0.11062010234630408,-0.8465143362323347,0.39726587969479255,-0.31045690311039054,0.12317389808712145,0.9106091548266981,0.7331119185743846,1.1310810966853193,922,2018,0.631132622917568
mean_sentiment,-0.009732014418672719,0.13428412317210164,-0.07247330651442646,0.942225247910017,-0.27292889583599195,0.2534648669986465,0.9903151883834281,0.761146906419344,1.2884821104463473,922,2018,0.631132622917568
mean_politeness,0.11234826721753366,0.14057708124190132,0.7991933409415987,0.42417831258044725,-0.16318281201659296,0.3878793464516603,1.118902469846916,0.8494358871320594,1.4738519480928085,922,2018,0.631132622917568
mean_toxicity,0.19592211813812133,0.13751809670769788,1.4247006236172999,0.1542437587858687,-0.07361335140896652,0.4654575876852092,1.2164321636432809,0.929030832869069,1.5927428416731708,922,2018,0.631132622917568
mean_constructiveness,0.19109505625362608,0.14288228233902983,1.3374300376879298,0.18108230505286693,-0.0889542171308724,0.4711443296381246,1.2105745192908228,0.9148874587884243,1.6018261619816505,922,2018,0.631132622917568
const,-1.5007585059558777,0.15271237434967347,-9.827353627018548,0.0,-1.8000747596812376,-1.2014422522305177,0.22296097876367657,0.16528653099131121,0.30076012699346855,1000,2019,0.6468159585389224
mean_score,4.413556490382765,0.30347220841047023,14.54352776980843,0.0,3.818750961898244,5.008362018867287,82.56257497505855,45.54728248572491,149.6593960056469,1000,2019,0.6468159585389224
score_std,-0.07468410798016147,0.11399663462809141,-0.6551430945642809,0.5123756282641165,-0.29811751185122065,0.1487492958908977,0.9280365993859417,0.7422141156682089,1.1603820401939475,1000,2019,0.6468159585389224
num_reviews,-0.16527419448133562,0.1140323711057382,-1.4493620791948865,0.14723649282442008,-0.3887776418485825,0.05822925288591124,0.8476612481840151,0.6778849865093034,1.0599579662810856,1000,2019,0.6468159585389224
mean_sentiment,0.024772601882665363,0.1347085626030192,0.18389775233270983,0.8540936681175642,-0.23925618081925223,0.28880138458458293,1.0250819923038106,0.7872131876192969,1.3348265850618883,1000,2019,0.6468159585389224
mean_politeness,0.004588483219985548,0.1288093106213191,0.03562229467615917,0.9715835310209182,-0.24787776559779984,0.25705473203777096,1.0045990264287263,0.7804553359392155,1.2931158996908267,1000,2019,0.6468159585389224
mean_toxicity,0.09394306784839873,0.12475927245849013,0.7529946752427195,0.4514531137724065,-0.1505851061702419,0.33847124186703936,1.0984972043275067,0.8602045181799012,1.4028014064243526,1000,2019,0.6468159585389224
mean_constructiveness,-0.10722421342800874,0.13636167567914234,-0.7863222044902575,0.4316787471366934,-0.37449309775912776,0.16004467090311025,0.8983242340525118,0.6876377555808899,1.1735632939531089,1000,2019,0.6468159585389224
const,-2.5348636609482025,0.23236689891910337,-10.908884495767595,0.0,-2.990302782829645,-2.07942453906676,0.07927252646908522,0.05027221285608426,0.12500212534470265,1000,2020,0.6524020678499516
mean_score,4.3509825641734805,0.33272757080573206,13.076711838568576,0.0,3.6988365253942455,5.0031286029527156,77.55462789950737,40.40027231417425,148.87821205405115,1000,2020,0.6524020678499516
score_std,-0.06618437144853762,0.1241181648614657,-0.5332367870763253,0.5938696793441829,-0.30945597457701035,0.17708723167993515,0.93595828439804,0.7338460785713977,1.1937352201141351,1000,2020,0.6524020678499516
num_reviews,0.006757140235244492,0.12072435537695227,0.0559716406366044,0.9553643992268301,-0.22986259630358194,0.2433768767740709,1.0067800212149536,0.7946427818578979,1.2755492584325023,1000,2020,0.6524020678499516
mean_sentiment,-0.2841869651470658,0.14332095292590427,-1.9828710271971755,0.04738183768278903,-0.5650960328818382,-0.0032778974122934512,0.7526259167357853,0.5683055681154394,0.9967274690282808,1000,2020,0.6524020678499516
