feature,coef,std_err,z,pvalue,ci_low,ci_high,odds_ratio,or_ci_low,or_ci_high,n,disagreement_level,pseudo_r2
const,-1.858134366044928,0.1313600936600251,-14.145348973745342,1.9952440818698525e-45,-2.1155954186243857,-1.6006733134654705,0.1559633295979472,0.12056148362525224,0.2017606241051848,1778,low,0.6563934967258032
mean_score,5.610321258915511,0.313779105864939,17.87984334855738,1.6931203836446511e-71,4.99532551231905,6.225317005511973,273.2320021231842,147.7210225708193,505.3832263343078,1778,low,0.6563934967258032
score_std,0.03681744858362021,0.08946591273300243,0.4115248753287339,0.6806877049603448,-0.138532518217068,0.21216741538430842,1.0375036057969538,0.8706349393128481,1.2363548525760342,1778,low,0.6563934967258032
mean_confidence,-0.07888238177550984,0.09247015246330724,-0.8530577670109377,0.3936272702184054,-0.26012055024851977,0.1023557866975001,0.9241486147722144,0.7709586409456515,1.1077775341331297,1778,low,0.6563934967258032
num_reviews,-0.054281171681000516,0.08442425882206624,-0.6429570414755347,0.5202519749623964,-0.21974967839373827,0.11118733503173722,0.9471657528710832,0.8027197109024155,1.1176042536731812,1778,low,0.6563934967258032
mean_sentiment,-0.19869207454513918,0.09519734005759385,-2.0871599398148266,0.036873679337480494,-0.38527543248203533,-0.01210871660824303,0.8198022924646757,0.6802632438051168,0.9879642988955541,1778,low,0.6563934967258032
mean_politeness,0.1900551199487776,0.10256223235973697,1.8530712093137696,0.06387215279733217,-0.01096316165033534,0.39107340154789055,1.2093162532701438,0.9890967147948749,1.4785670385394312,1778,low,0.6563934967258032
mean_toxicity,-0.01707344693214523,0.09762996284261613,-0.17487917064629424,0.8611745774634696,-0.20842465791565656,0.17427776405136608,0.9830714783991109,0.811862199788694,1.1903861663880266,1778,low,0.6563934967258032
mean_constructiveness,-0.07817553236860698,0.09895425748871729,-0.7900168658990798,0.4295179185803413,-0.2721223131633958,0.11577124842618185,0.9248020795958599,0.7617610819837488,1.122739014439534,1778,low,0.6563934967258032
const,-2.1335012141208427,0.1685631881561797,-12.65698185622877,1.023594512194302e-36,-2.4638789920262036,-1.8031234362154818,0.11842194657526123,0.08510419139536424,0.16478339316479215,1742,medium,0.7220041065434126
mean_score,5.5530605486213265,0.31836945413602336,17.442190123706972,3.946560420494554e-68,4.929067884737044,6.177053212505609,258.02604994955243,138.2505867805037,481.5707766815625,1742,medium,0.7220041065434126
score_std,-0.03520003662891163,0.08934077824906902,-0.39399742557400913,0.6935829399264128,-0.21030474434786636,0.1399046710900431,0.9654122791231342,0.8103372626380568,1.150164149736279,1742,medium,0.7220041065434126
mean_confidence,-0.017095807293068945,0.10125756990832438,-0.168834856579582,0.8659265402929943,-0.21555699747543147,0.18136538288929357,0.9830494968117992,0.8060923237212947,1.1988531397007303,1742,medium,0.7220041065434126
num_reviews,0.0336600225772456,0.10609899079219022,0.3172511097977688,0.7510530713091141,-0.17429017817149406,0.24161022332598525,1.0342329311041747,0.8400530972156509,1.2732977943009054,1742,medium,0.7220041065434126
mean_sentiment,0.1792158873457968,0.11331002154813179,1.5816419845059295,0.11373132378111857,-0.04286767397599897,0.4012994486675926,1.196278977785542,0.9580381550595923,1.4937645073254986,1742,medium,0.7220041065434126
mean_politeness,0.1228723145516329,0.11968867781790662,1.0265993140852456,0.3046091771581677,-0.11171318332868214,0.35745781243194796,1.1307400326814856,0.8943007210755607,1.4296902500210542,1742,medium,0.7220041065434126
mean_toxicity,0.07550289461704729,0.10553206762132857,0.7154497805156977,0.47433116170231093,-0.13133615713480226,0.28234194636889687,1.0784263493448285,0.8769229409353679,1.3262321427247634,1742,medium,0.7220041065434126
mean_constructiveness,-0.1796361082476124,0.12221746172853871,-1.4698072248187264,0.14161397186417243,-0.4191779315174507,0.059905715022225914,0.8355742146610027,0.6575871793730358,1.061736436029702,1742,medium,0.7220041065434126
